"MissionID","TotalComps","TotalCompTime","tick"
"2",0,0,4053.0
"0",0,0,4053.0
"1",0,0,4053.0
"2",3,321,4053.0
"1",0,0,4053.0
"0",0,0,4053.0
"0",0,0,4053.0
"1",0,0,4053.0
"2",0,0,4053.0
"3",0,0,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"2",0,0,4053.0
"2",0,0,4053.0
"3",0,0,4053.0
"0",0,0,4053.0
"1",0,0,4053.0
"0",2,49,4053.0
"0",0,0,4053.0
"2",0,0,4053.0
"3",0,0,4053.0
"2",1,15,4053.0
"2",2,56,4053.0
"0",1,11,4053.0
"2",1,92,4053.0
"3",0,0,4053.0
"0",0,0,4053.0
"2",0,0,4053.0
"2",0,0,4053.0
"3",0,0,4053.0
"0",0,0,4053.0
"1",1,33,4053.0
"0",0,0,4053.0
"3",0,0,4053.0
"3",0,0,4053.0
"3",2,136,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"3",0,0,4053.0
"0",0,0,4053.0
"0",0,0,4053.0
"0",0,0,4053.0
"0",0,0,4053.0
"3",0,0,4053.0
"2",0,0,4053.0
"0",0,0,4053.0
"1",0,0,4053.0
"3",0,0,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"0",0,0,4053.0
"2",0,0,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"2",0,0,4053.0
"2",1,63,4053.0
"1",0,0,4053.0
"0",0,0,4053.0
"3",1,99,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"3",0,0,4053.0
"3",0,0,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"0",0,0,4053.0
"1",1,48,4053.0
"1",0,0,4053.0
"2",0,0,4053.0
"3",0,0,4053.0
"2",0,0,4053.0
"0",0,0,4053.0
"2",0,0,4053.0
"2",1,6,4053.0
"2",0,0,4053.0
"0",0,0,4053.0
"1",0,0,4053.0
"3",2,129,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"0",0,0,4053.0
"0",0,0,4053.0
"2",0,0,4053.0
"0",2,170,4053.0
"0",0,0,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"0",0,0,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"3",3,191,4053.0
"0",0,0,4053.0
"3",0,0,4053.0
"3",1,92,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"2",0,0,4053.0
"3",0,0,4053.0
"0",1,15,4053.0
"0",0,0,4053.0
"3",1,92,4053.0
"0",1,23,4053.0
"3",0,0,4053.0
"3",0,0,4053.0
"2",0,0,4053.0
"0",0,0,4053.0
"1",0,0,4053.0
"0",0,0,4053.0
"2",1,95,4053.0
"3",0,0,4053.0
"2",0,0,4053.0
"3",1,39,4053.0
"3",3,43,4053.0
"2",0,0,4053.0
"3",1,70,4053.0
"0",0,0,4053.0
"0",0,0,4053.0
"0",0,0,4053.0
"1",0,0,4053.0
"3",0,0,4053.0
"3",2,121,4053.0
"1",0,0,4053.0
"2",0,0,4053.0
"2",0,0,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"2",0,0,4053.0
"0",0,0,4053.0
"0",0,0,4053.0
"0",0,0,4053.0
"3",0,0,4053.0
"2",0,0,4053.0
"1",0,0,4053.0
"3",0,0,4053.0
"2",0,0,4053.0
"0",1,22,4053.0
"0",0,0,4053.0
"2",0,0,4053.0
"0",1,70,4053.0
"1",0,0,4053.0
"2",0,0,4053.0
"2",1,55,4053.0
"0",0,0,4053.0
"3",0,0,4053.0
"3",1,93,4053.0
"0",0,0,4053.0
"1",0,0,4053.0
"0",1,47,4053.0
"1",0,0,4053.0
"3",0,0,4053.0
"1",0,0,4053.0
"3",0,0,4053.0
"1",1,37,4053.0
"0",0,0,4053.0
"1",0,0,4053.0
"0",0,0,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"2",0,0,4053.0
"3",1,18,4053.0
"0",1,36,4053.0
"1",0,0,4053.0
"0",0,0,4053.0
"2",0,0,4053.0
"3",0,0,4053.0
"2",1,61,4053.0
"2",0,0,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"2",1,10,4053.0
"0",0,0,4053.0
"0",0,0,4053.0
"0",1,65,4053.0
"3",0,0,4053.0
"0",1,94,4053.0
"2",0,0,4053.0
"2",0,0,4053.0
"2",1,37,4053.0
"3",0,0,4053.0
"3",0,0,4053.0
"1",0,0,4053.0
"1",2,124,4053.0
"1",0,0,4053.0
"0",0,0,4053.0
"3",0,0,4053.0
"0",1,88,4053.0
"3",0,0,4053.0
"2",0,0,4053.0
"3",0,0,4053.0
"3",0,0,4053.0
"1",0,0,4053.0
"0",0,0,4053.0
"1",0,0,4053.0
"0",0,0,4053.0
"1",1,16,4053.0
"2",0,0,4053.0
"2",0,0,4053.0
"0",2,96,4053.0
"2",2,28,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"3",2,102,4053.0
"1",0,0,4053.0
"0",0,0,4053.0
"1",0,0,4053.0
"2",0,0,4053.0
"2",0,0,4053.0
"2",0,0,4053.0
"3",0,0,4053.0
"3",0,0,4053.0
"2",3,352,4053.0
"0",0,0,4053.0
"3",0,0,4053.0
"3",0,0,4053.0
"3",0,0,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"1",0,0,4053.0
"0",0,0,4053.0
"2",1,79,4053.0
"3",0,0,4053.0
"0",0,0,4053.0
